phase,checkpoint_path,checkpoint_sha256,state_dict_sha256,hash_receipt_scope,r1_clean_reload_obligation,optimizer_step,scheduled_checkpoint,recoverable,exclusion_reason,parent_training_fingerprint_sha256,source_inventory,checkpoint_name,assignment_index,assigned_partition,logical_run_id,attempt_credit
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_22495.pt,33be08fd9c273738e7691e0e88b0ee9e5a74898f794005e83307db9971612bcd,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,22495,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_22495,31,a100-gpu,route_C_round03_R1_checkpoint_33be08fd9c273738e7691e0e88b0ee9e5a74898f794005e83307db9971612bcd,pending
no_context_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_no_nnunet_context_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_16000.pt,37332161dcd53f95ceb532da7a8663edded164e4ba8ade21b04c6b16dec16898,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,16000,true,true,,f54db56279cb32e1566dca97a8cd242a19876759fbdfebd5da7a40fbfed49661,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_16000,32,htzhulab,route_C_round03_R1_checkpoint_37332161dcd53f95ceb532da7a8663edded164e4ba8ade21b04c6b16dec16898,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_final.pt,386d06fc4b72a4bc7c023c107a6a674c91e28d8671099fb57eabc9cf5b17ded6,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,,best_or_final,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_final,33,a100-gpu,route_C_round03_R1_checkpoint_386d06fc4b72a4bc7c023c107a6a674c91e28d8671099fb57eabc9cf5b17ded6,pending
no_context_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_no_nnunet_context_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_2000.pt,3acd8bd7f561e2bd395c30bbe75f9f63f677f5303b075f51be48d6e5d54932d6,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,2000,true,true,,f54db56279cb32e1566dca97a8cd242a19876759fbdfebd5da7a40fbfed49661,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_2000,34,htzhulab,route_C_round03_R1_checkpoint_3acd8bd7f561e2bd395c30bbe75f9f63f677f5303b075f51be48d6e5d54932d6,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_26585.pt,3bee0d14789b2ddd18f37326ae763fc19604fb326304aca08e56e1afb3bd979a,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,26585,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_26585,35,a100-gpu,route_C_round03_R1_checkpoint_3bee0d14789b2ddd18f37326ae763fc19604fb326304aca08e56e1afb3bd979a,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_40500.pt,3d646e756c6c9edd2bb7480ff2396ec242a6512c4069919afb314d5fb001edab,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,40500,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_40500,36,htzhulab,route_C_round03_R1_checkpoint_3d646e756c6c9edd2bb7480ff2396ec242a6512c4069919afb314d5fb001edab,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_38855.pt,3dc72b03c45a7b83bbf6a6675a258c3ce468f8043846ad5f10590bf05d1d9e7a,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,38855,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_38855,37,a100-gpu,route_C_round03_R1_checkpoint_3dc72b03c45a7b83bbf6a6675a258c3ce468f8043846ad5f10590bf05d1d9e7a,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_21658.pt,3f084a7a394556d13377fbe77c2887897ee95258e921087797d815577ace2dd1,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,21658,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_21658,38,htzhulab,route_C_round03_R1_checkpoint_3f084a7a394556d13377fbe77c2887897ee95258e921087797d815577ace2dd1,pending
hard_negative_refresh,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_hard_negative_refresh/checkpoints/fold_0/propref_config/checkpoint_validation_step_6000.pt,3fd5a6431387c68f98d41bdebd88824a354d5e7532c4dac4c38ee4d16f4c87b9,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,6000,true,true,,58d300460614cd4919218a672575ed2c80719f62640781646ade96966c13d536,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_6000,39,a100-gpu,route_C_round03_R1_checkpoint_3fd5a6431387c68f98d41bdebd88824a354d5e7532c4dac4c38ee4d16f4c87b9,pending
no_context_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_no_nnunet_context_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_20000.pt,40f5d166202bb4eaa9052cb36662d042a86b4f6d1401a0087f1f40bf3db1b74f,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,20000,true,true,,f54db56279cb32e1566dca97a8cd242a19876759fbdfebd5da7a40fbfed49661,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_20000,40,htzhulab,route_C_round03_R1_checkpoint_40f5d166202bb4eaa9052cb36662d042a86b4f6d1401a0087f1f40bf3db1b74f,pending
alignment_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_2500.pt,41523cbf34235515a3699816da0f909d92722fa86700a3c8c8537483e291d130,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,2500,true,true,,1e0dfe0ada3575f8c193400cc156ca65cbbef25cbe4c3e0f40e810b9b9b25f51,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_2500,41,a100-gpu,route_C_round03_R1_checkpoint_41523cbf34235515a3699816da0f909d92722fa86700a3c8c8537483e291d130,pending
d0_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_best.pt,41a13ee260c61ff6fa00ca0e48ef416860e7bcd2154e8b4ffc72df2685051906,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,,best_or_final,true,,4b6767d4eda94c5efafdfe6292aba3b90ab98ae385df1d37badec1af3f8b6a2e,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_best,42,htzhulab,route_C_round03_R1_checkpoint_41a13ee260c61ff6fa00ca0e48ef416860e7bcd2154e8b4ffc72df2685051906,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_30675.pt,42377997f1cd5caea25e85fb702c7faede084d9b17a695b503e092e3819b6c49,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,30675,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_30675,43,a100-gpu,route_C_round03_R1_checkpoint_42377997f1cd5caea25e85fb702c7faede084d9b17a695b503e092e3819b6c49,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_19992.pt,43d51cf9fef688070c5d3f449aaedae5574eb8bbeabd32ff1a45603a79784208,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,19992,true,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_19992,44,htzhulab,route_C_round03_R1_checkpoint_43d51cf9fef688070c5d3f449aaedae5574eb8bbeabd32ff1a45603a79784208,pending
d0_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_4000.pt,458cf492c51bcbd64ba43dda16873117873b0b97ac157f3bb7e4e59ab6885df2,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,4000,true,true,,4b6767d4eda94c5efafdfe6292aba3b90ab98ae385df1d37badec1af3f8b6a2e,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_4000,45,a100-gpu,route_C_round03_R1_checkpoint_458cf492c51bcbd64ba43dda16873117873b0b97ac157f3bb7e4e59ab6885df2,pending
no_context_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_no_nnunet_context_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_4000.pt,458f452f0d61593a751f3e542410ba07fd15fbbbb7a0c4431646a2ba13ccf4f4,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,4000,true,true,,f54db56279cb32e1566dca97a8cd242a19876759fbdfebd5da7a40fbfed49661,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_4000,46,htzhulab,route_C_round03_R1_checkpoint_458f452f0d61593a751f3e542410ba07fd15fbbbb7a0c4431646a2ba13ccf4f4,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_8330.pt,485e71f662be8489f027755983ada130199ec8cef0651e71e1c87f13c8186c29,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,8330,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_8330,47,a100-gpu,route_C_round03_R1_checkpoint_485e71f662be8489f027755983ada130199ec8cef0651e71e1c87f13c8186c29,pending
alignment_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_9000.pt,4bbde0afe6a97134cf1bae85bec1ffc6a412bb303052eb5f57e3605d4c1400dc,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,9000,true,true,,1e0dfe0ada3575f8c193400cc156ca65cbbef25cbe4c3e0f40e810b9b9b25f51,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_9000,48,htzhulab,route_C_round03_R1_checkpoint_4bbde0afe6a97134cf1bae85bec1ffc6a412bb303052eb5f57e3605d4c1400dc,pending
no_context_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_no_nnunet_context_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_6000.pt,4d7c89e2f15ecec76726f5b138fe1ce28a1300cf301e408d16dd501642cfa971,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,6000,true,true,,f54db56279cb32e1566dca97a8cd242a19876759fbdfebd5da7a40fbfed49661,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_6000,49,a100-gpu,route_C_round03_R1_checkpoint_4d7c89e2f15ecec76726f5b138fe1ce28a1300cf301e408d16dd501642cfa971,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_36810.pt,4f3e5d67cf472f36e11e86803e8b9e6a76f5854a2455ded47001fa1a62ffd518,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,36810,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_36810,50,htzhulab,route_C_round03_R1_checkpoint_4f3e5d67cf472f36e11e86803e8b9e6a76f5854a2455ded47001fa1a62ffd518,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_9996.pt,4ffb427f9c52be7bf6a41c1f7812d5a03755c1f4be00d65b07a04a2c60ae096f,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,9996,true,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_9996,51,a100-gpu,route_C_round03_R1_checkpoint_4ffb427f9c52be7bf6a41c1f7812d5a03755c1f4be00d65b07a04a2c60ae096f,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_best.pt,534ffdfbe50956c0c039fbf71a48a7ae31fe6e00ac4ec4106bfbf1c93ab74872,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,,best_or_final,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_best,52,htzhulab,route_C_round03_R1_checkpoint_534ffdfbe50956c0c039fbf71a48a7ae31fe6e00ac4ec4106bfbf1c93ab74872,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_24540.pt,5f086da6016bae21f0e144e4eed7a494e9e8256f31d162cb77350f3aff190ba7,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,24540,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_24540,53,a100-gpu,route_C_round03_R1_checkpoint_5f086da6016bae21f0e144e4eed7a494e9e8256f31d162cb77350f3aff190ba7,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_10225.pt,5fb3e7fc2cf71105a18dd63103c9517a80455c55e33053f576d4b0b1a31c00c9,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,10225,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_10225,54,htzhulab,route_C_round03_R1_checkpoint_5fb3e7fc2cf71105a18dd63103c9517a80455c55e33053f576d4b0b1a31c00c9,pending
no_context_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_no_nnunet_context_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_14000.pt,601c047dba2f242464d9a02a7e90536bee9c416346cea81cf93136445a4ebfac,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,14000,true,true,,f54db56279cb32e1566dca97a8cd242a19876759fbdfebd5da7a40fbfed49661,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_14000,55,a100-gpu,route_C_round03_R1_checkpoint_601c047dba2f242464d9a02a7e90536bee9c416346cea81cf93136445a4ebfac,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_4998.pt,66a5d18bdcbdb07d6789afd7c252823ad28b1ae9f3103bfee42d1939b79f9d08,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,4998,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_4998,56,htzhulab,route_C_round03_R1_checkpoint_66a5d18bdcbdb07d6789afd7c252823ad28b1ae9f3103bfee42d1939b79f9d08,pending
hard_negative_refresh,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_hard_negative_refresh/checkpoints/fold_0/propref_config/checkpoint_validation_step_18000.pt,682486d46d5de926f1e13bb304ebdfc0592137a1e69eb0659eaca2bf521f7779,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,18000,true,true,,58d300460614cd4919218a672575ed2c80719f62640781646ade96966c13d536,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_18000,57,a100-gpu,route_C_round03_R1_checkpoint_682486d46d5de926f1e13bb304ebdfc0592137a1e69eb0659eaca2bf521f7779,pending
hard_negative_refresh,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_hard_negative_refresh/checkpoints/fold_0/propref_config/checkpoint_validation_step_12000.pt,69dd5d4738204490ecab17ee08aeb01becd49aa69ccbbec5d9156ecfa7df1b92,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,12000,true,true,,58d300460614cd4919218a672575ed2c80719f62640781646ade96966c13d536,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_12000,58,htzhulab,route_C_round03_R1_checkpoint_69dd5d4738204490ecab17ee08aeb01becd49aa69ccbbec5d9156ecfa7df1b92,pending
d0_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_13328.pt,6a43f3a620bacff4a7658f4d0d88a2fd276f12540308394a9029588b66c8f99f,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,13328,true,true,,4b6767d4eda94c5efafdfe6292aba3b90ab98ae385df1d37badec1af3f8b6a2e,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_13328,59,a100-gpu,route_C_round03_R1_checkpoint_6a43f3a620bacff4a7658f4d0d88a2fd276f12540308394a9029588b66c8f99f,pending
no_context_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_no_nnunet_context_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_10000.pt,6a62db54c70c6fe85d1f0420cacac5624065dfd31c7f737b14c1ddfbeed997f8,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,10000,true,true,,f54db56279cb32e1566dca97a8cd242a19876759fbdfebd5da7a40fbfed49661,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_10000,60,htzhulab,route_C_round03_R1_checkpoint_6a62db54c70c6fe85d1f0420cacac5624065dfd31c7f737b14c1ddfbeed997f8,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_23324.pt,6b3448061fd30d66716aeea71612e9adb8f2832d28c40ebe9ec916c62476cbe6,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,23324,true,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_23324,61,a100-gpu,route_C_round03_R1_checkpoint_6b3448061fd30d66716aeea71612e9adb8f2832d28c40ebe9ec916c62476cbe6,pending
d0_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_12000.pt,6d7444bf617f5e2b6d647558ea23d7de5e1ef31ae5e50ae9265b69e90abe9769,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,12000,true,true,,4b6767d4eda94c5efafdfe6292aba3b90ab98ae385df1d37badec1af3f8b6a2e,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_12000,62,htzhulab,route_C_round03_R1_checkpoint_6d7444bf617f5e2b6d647558ea23d7de5e1ef31ae5e50ae9265b69e90abe9769,pending
